root	gloss_head	matched_covered_word	gloss_zipf	inv_tier	prod	gloss
skriberar	typo	write	3.3	tail	1	typo, write error
vakskandel	taper	wax	3.3	tail	1	taper, wax candle
antagonist	adversary	opponent	3.29	extended	2	adversary, opponent, antagonist
imit	imitate	fake	3.29	core	8	to imitate, emulate, fake, mimic, counterfeit
kompleksi	complexion	constitution	3.29	tail	1	complexion, constitution
kunnaskit	congenital	native	3.29	tail	1	congenital, inborn, inbred, innate, native
facilromp	brittle	fragile	3.28	extended	2	brittle, fragile
split	splinter	split	3.28	core	4	to splinter, split
klarmens	lucid	clear-thinking	3.27	tail	1	lucid, clear-thinking
svarm	abound	swarm	3.27	extended	2	to abound, swarm
ĉevron	chevron	support	3.27	tail	1	chevron, rafter, support beam
enpensiĝ	meditate	reflect	3.26	tail	1	to meditate, reflect, consider, sink into thought
medit	meditate	think	3.26	core	3	to meditate, think to oneself
nekontestebl	undisputed	undeniable	3.26	tail	1	undisputed, unquestioned, undeniable
nepridubebl	undisputed	undeniable	3.26	tail	1	undisputed, unquestioned, undeniable
testud	tortoise	turtle	3.26	tail	1	tortoise, turtle
trist	dismal	sad	3.26	extended	2	dismal, dreary, sad
dujar	biennial	two-year	3.25	core	3	biennial, two-year, two-year-old
emisi	emit	issue	3.25	tail	1	to emit, issue
enspir	inhale	inspire	3.25	tail	1	to inhale, inspire
interkonekt	interconnected	local	3.25	extended	2	interconnected, LAN, local area network
sond	fathom	sound	3.25	core	5	to fathom, sound, try depth, probe, plumb, sound out
ajut	nozzle	jet	3.24	tail	1	nozzle, jet
dolĉacid	bittersweet	sweet-and-sour	3.24	tail	1	bittersweet, sweet-and-sour
dolĉamar	bittersweet	sweet-and-sour	3.24	tail	1	bittersweet, sweet-and-sour
dommastrumad	housekeeping	home-making	3.24	tail	1	housekeeping, home-making
duz	nozzle	jet	3.24	tail	1	nozzle, jet
surgrimp	ascend	climb	3.24	core	3	to ascend, climb, scale
ferol	dung	giant	3.23	tail	1	devil’s dung, giant fennel, stinking gum
akraton	abrasive	sharp-toned	3.22	extended	2	abrasive, acrid, acrimonious, sharp-toned, shrill, snappy, tart
enmemorig	memorize	store	3.22	tail	1	to memorize, store
ilumin	enlighten	illuminate	3.22	core	4	to enlighten, illuminate
laŭreat	laureate	winner	3.22	tail	1	laureate, winner
bonodor	fragrant	good-smelling	3.21	core	4	fragrant, good-smelling, nutty
debil	feeble	weak	3.21	extended	2	feeble, weak, feebleminded
plug	plow	till	3.21	core	5	to plow, till
trikotvest	cardigan	sweater	3.21	tail	1	cardigan, jersey, sweater
veturilfarist	cartwright	coach	3.21	tail	1	cartwright, coach maker
ĵerz	cardigan	sweater	3.21	tail	1	cardigan, jersey, sweater
ŝarĝaŭt	lorry	truck	3.21	extended	2	lorry, truck
lavpulvor	detergent	soap	3.2	tail	1	detergent, soap powder
naturdot	aptitude	talent	3.2	extended	2	aptitude, disposition, talent, turn
rapidumskatol	gearbox	gear	3.2	tail	1	gearbox, gear case
