root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
plekt	braid	3.24	3	core	5	to braid, plait, twine, wreathe
turnvent	whirlwind	3.24	3	extended	2	whirlwind
angil	eel	3.23	3	extended	2	eel
aristokrat	aristocratic	3.23	3	core	4	aristocratic
arsen	arsenic	3.23	3	core	5	arsenic, arsenical
konverg	converge	3.23	3	extended	2	to converge
kript	cryptic	3.23	3	core	5	cryptic
mikroprogram	firmware	3.23	3	extended	2	firmware, microprogram
petolemul	imp	3.23	3	extended	2	imp, scamp
prefiks	prefix	3.23	3	extended	2	to prefix
sled	sled	3.23	3	core	3	to sled
subtitolig	subtitle	3.23	3	extended	2	to subtitle
abrad	abrasive	3.22	3	extended	2	abrasive
frivol	frivolous	3.22	3	core	4	frivolous
frotpurig	abrasive	3.22	3	extended	2	abrasive
homogen	homogeneous	3.22	3	core	3	homogeneous
metafizik	metaphysical	3.22	3	extended	2	metaphysical
meteologi	meteorology	3.22	3	extended	2	meteorology
meteorologi	meteorology	3.22	3	extended	2	meteorology
remŝip	galley	3.22	3	extended	2	galley
anatomi	anatomical	3.21	3	extended	2	anatomical
apostol	apostolic	3.21	3	extended	2	apostolic
bioĥemi	biochemical	3.21	3	extended	2	biochemical
elokvent	eloquent	3.21	3	core	3	eloquent, fluent, rhetorical
ermit	hermit	3.21	3	extended	2	hermit, recluse
panoram	panoramic	3.21	3	extended	2	panoramic
retroakumul	backlog	3.21	3	extended	2	to backlog
sept	septic	3.21	3	extended	2	septic
simetri	symmetric	3.21	3	core	4	symmetric, symmetrical
horloĝdirekt	clockwise	3.2	3	extended	2	clockwise
korelaci	correlate	3.2	3	extended	2	to correlate
korprem	distressing	3.2	3	core	3	distressing, oppressing
mikrob	germ	3.2	3	extended	2	germ, microbe
oblikv	oblique	3.2	3	core	3	oblique, slanting
surĉeval	equestrian	3.2	3	extended	2	equestrian
aerobi	aerobic	3.19	3	extended	2	aerobic, aerobiotic
algebr	algebraic	3.19	3	core	3	algebraic
aŭgment	augment	3.19	3	extended	2	augment
jod	iodine	3.19	3	extended	2	iodine
pervers	perverse	3.19	3	extended	2	perverse
profet	prophetic	3.19	3	core	4	prophetic
radiologi	radiology	3.19	3	extended	2	radiology
deport	deport	3.18	3	extended	2	to deport
facet	facet	3.18	3	extended	2	to facet
hortikultur	horticulture	3.18	3	extended	2	horticulture
mobiliz	mobilize	3.18	3	core	5	to mobilize
onan	masturbate	3.18	3	core	3	to masturbate
pornografi	pornographic	3.18	3	extended	2	pornographic
sulf	sulphur	3.18	3	extended	2	sulphur
anekdot	anecdotal	3.17	3	core	3	anecdotal
aŭtoimun	autoimmune	3.17	3	extended	2	autoimmune
esoter	esoteric	3.17	3	core	3	esoteric
rektif	rectify	3.17	3	extended	2	to rectify
dinam	dynamo	3.16	3	core	3	dynamo
inciz	incision	3.16	3	core	3	incision
aks	axial	3.15	3	core	4	axial
farmakologi	pharmacology	3.15	3	extended	2	pharmacology
morus	mulberry	3.15	3	extended	2	mulberry
pacgard	peacekeeping	3.15	3	core	3	peacekeeping
serp	sickle	3.15	3	extended	2	sickle
surbord	embankment	3.15	3	core	3	embankment, quay
utopi	utopian	3.15	3	core	8	utopian
deĉifr	decipher	3.14	3	extended	2	to decipher, decode, decrypt
hejmsid	sedentary	3.14	3	extended	2	sedentary
inflam	inflamed	3.14	3	core	3	inflamed
primas	primate	3.14	3	core	3	primate
barlist	blacklist	3.13	3	extended	2	blacklist
homevit	antisocial	3.13	3	core	3	antisocial
indulg	lenient	3.13	3	core	6	lenient
toksologi	toxicology	3.13	3	extended	2	toxicology
abandon	relinquish	3.12	3	extended	2	to relinquish
adjutant	adjutant	3.12	3	extended	2	adjutant, aide
arkeolog	archaeologist	3.12	3	extended	2	archaeologist
