root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
dupleks	obscure_root		tail	1		0.0			duplex (communication)
duplikat	shade_mismatch		tail	1	duplicate	3.59		copy	to duplicate, copy
dupolus	obscure_root		tail	1	bipolar	3.62			bipolar
dupunkt	obscure_root		tail	1	colon	3.6			colon
dur	covered_T1_3	2	extended	2		0.0			hard, major (in music)
duralumini	obscure_root		tail	1	duralumin	1.71			duralumin
duramatr	obscure_root		tail	1	dura	0.0			dura mater
durdisk	obscure_root		tail	1	hard	0.0			hard disk, hard drive
duri	obscure_root		extended	2	durian	2.58			durian
duriarb	obscure_root		tail	1		0.0			durian (tree)
durifrukt	obscure_root		tail	1	durian	2.58			durian
durtol	obscure_root		tail	1	buckram	1.74			buckram
dusekc	obscure_root		extended	2	bisect	1.91			to bisect
dusemajn	obscure_root		tail	1	fortnightly	2.76			fortnightly
dusenc	obscure_root		core	4	ambiguous	3.57			ambiguous, equivocal
dusignif	obscure_root		tail	1	ambiguous	3.57			ambiguous
dustabil	obscure_root		tail	1	bistable	1.81			bistable
dut	obscure_root		core	3		0.0			second (musical interval)
dutag	obscure_root		tail	1	two-day	0.0			two-day
dutavol	obscure_root		tail	1	double-layer	0.0			double-layer, dual layer
duterm	obscure_root		tail	1	binomial	2.7			binomial
duum	obscure_root		tail	1	binary	3.95			binary
duvalent	obscure_root		extended	2	bivalent	1.7			bivalent
duvalv	obscure_root		extended	2	bivalve	2.18			bivalve
duvet	obscure_root		tail	1	duvet	2.99			duvet
duz	shade_mismatch		tail	1	nozzle	3.24		jet	nozzle, jet
duĉambr	obscure_root		tail	1	bicameral	2.28			bicameral
duĝemin	obscure_root		tail	1	bigeminate	0.0			bigeminate
duŝ	covered_T1_3	1	core	3		0.0			to shower
duŝkap	obscure_root		tail	1	showerhead	2.03			showerhead
duŝkurten	obscure_root		tail	1	shower	0.0			shower curtain
duŝĉap	obscure_root		tail	1	shower	0.0			shower cap
dvd	covered_T1_3	1	modern	-1		0.0			DVD (digital video disc)
dzet	obscure_root		tail	1	zeta	3.08			zeta
dzonk	obscure_root		tail	1	dzongkha	0.0			Dzongkha
dŭm	obscure_root		tail	1	binary	3.95			binary
e	covered_T1_3	2	tail	1		0.0			the letter E
