en_lemma	decision	note	eo_root_override	eo_word_override	source	reason	ts
pup	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
zigzag	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
lemonade	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
loop	accept	traslation: (buklo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
awe	accept	translation: in awe			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pine	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sunflower	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
yogurt	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
boo	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
peach	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
tweet	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hut	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rod	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
kangaroo	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
deaf	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hiding	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
igloo	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
lime	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pat	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
copper	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
gorilla	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jerry	reject	did not find a single use in texts			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
skeleton	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bang	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
fuzzy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
granny	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
twinkle	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
unite	accept	translation: to unite			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
veterinarian	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
screw	accept	(sraubo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
luckily	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pancake	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
ouch	accept	translation : ow			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bulb	accept	translation: lamp [used to be wolfram bulb, now LED lamp]			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
