en_lemma	base_word	total_freq	band	final_eo_root	final_eo_word	eo_gloss	gloss_source	anchor_source	tier_basis	proposed_tier	review_flag	note
meow	meow	35	P1_name	miaŭ	miaŭi	to meow, mew	espdic	worksheet-proposed	freq	1		
rat	rat	35	P1_name	rat	rato	rat	espdic	worksheet-proposed	freq	1		
hay	hay	34	P1_name	fojn	fojno	hay	espdic	worksheet-proposed	freq	1		
beep	beep	33	P1_name	pep	pepi	to chirp, peep, twitter, warble, beep	espdic	worksheet-proposed	freq	1		
ow	ow	33	P1_name	a	aj	ow, ouch, oh	espdic	worksheet-proposed	freq	1		translation: ouch
faucet	faucet	32	P1_name	kran	krano	cock, faucet, tap, spigot	espdic	worksheet-proposed	freq	1		
goose	goose	32	P1_name	anser	ansero	goose	espdic	worksheet-proposed	freq	1		
snowy	snowy	32	P1_name	neĝ	neĝa	snowy	espdic	worksheet-proposed	freq	1		
leopard	leopard	31	P1_name	panter	pantero	leopard, panther	espdic	worksheet-proposed	freq	1		
pup	pup	31	P1_name	hundid	hundido	pup, puppy	espdic	worksheet-proposed	freq	1		
zigzag	zigzag	31	P1_name	zigzag	zigzaga	zigzag	espdic	worksheet-proposed	freq	1		
lemonade	lemonade	30	P1_name	limonad	limonado	lemonade	espdic	worksheet-proposed	freq	1		
loop	loop	30	P1_name	maŝ	maŝo	knot, link, loop, mesh, mail (armor)	espdic	worksheet-proposed	freq	1		traslation: (buklo)
pine	pine	29	P1_name	pin	pino	pine (tree)	espdic	worksheet-proposed	freq	1		
sunflower	sunflower	29	P1_name	heliant	helianto	sunflower	espdic	worksheet-proposed	freq	1		
yogurt	yogurt	29	P1_name	jahurt	jahurto	yogurt	espdic	worksheet-proposed	freq	1		
boo	boo	28	P1_name	h	hu	boo	espdic	worksheet-proposed	freq	1		
peach	peach	28	P1_name	persik	persiko	nectarine, peach	espdic	worksheet-proposed	seed	1		
tweet	tweet	28	P1_name	pepaĵ	pepaĵo	tweet	espdic	worksheet-proposed	freq	1		
rod	rod	27	P1_name	verg	vergo	cane, rod, switch, wand, stick, staff	espdic	worksheet-proposed	freq	1		
deaf	deaf	25	P1_name	surd	surda	deaf	espdic	worksheet-proposed	freq	1		
hiding	hiding	25	P1_name	kaŝ	kaŝo	concealment, (act of) hiding, obfuscation	espdic	worksheet-proposed	freq	1		
igloo	igloo	24	P1_name	igl	iglo	igloo	espdic	worksheet-proposed	freq	1		
pat	pat	24	P1_name	frapet	frapeti	to pat, tap, rap	espdic	worksheet-proposed	freq	1		
copper	copper	23	P1_name	kupr	kupra	copper	espdic	worksheet-proposed	freq	1		
gorilla	gorilla	23	P1_name	goril	gorilo	gorilla	espdic	worksheet-proposed	freq	1		
bang	bang	21	P1_name	knal	knali	to bang, explode, burst, make a loud sound	espdic	worksheet-proposed	freq	1		
fuzzy	fuzzy	21	P1_name	svag	svaga	vague, fuzzy	espdic	worksheet-proposed	freq	1		
granny	granny	21	P1_name	avinj	avinjo	granny	espdic	worksheet-proposed	freq	1		
twinkle	twinkle	21	P1_name	brilet	brileti	to scintillate, twinkle	espdic	worksheet-proposed	freq	1		
unite	unite	21	P1_name	kupl	kupli	to couple, join (up), unite, connect	espdic	worksheet-proposed	freq	1		translation: to unite
veterinarian	veterinarian	21	P1_name	veterinar	veterinaro	veterinarian	espdic	worksheet-proposed	freq	1		
luckily	luckily	19	P1_name	feliĉ	feliĉe	fortunately, happily, luckily	espdic	worksheet-proposed	freq	2		
pancake	pancake	18	P1_name	flan	flano	flan, tart, pancake, thin flat pastry	espdic	worksheet-proposed	freq	2		
ouch	ouch	17	P1_name	a	aj	ow, ouch, oh	espdic	worksheet-proposed	freq	2		translation : ow
elf	elf	15	P1_name	elf	elfo	elf	espdic	worksheet-proposed	freq	2		
curiosity	curiosity	14	P1_name	sciem	sciemo	curiosity, curiousness	espdic	worksheet-proposed	freq	2		translation: (kuriozajo)
ladybug	ladybug	14	P1_name	kokcinel	kokcinelo	lady beetle, ladybird, ladybird beetle, ladybug	espdic	worksheet-proposed	seed	1		translation: ladybug beetle
melody	melody	14	P1_name	melodi	melodio	melody, tune	espdic	worksheet-proposed	freq	2		
superhero	superhero	14	P3_compound	superhero	superheroo	superhero	espdic	worksheet-proposed	freq	2		
flora	flora	13	P1_name	flaŭr	flaŭro	flora	espdic	worksheet-proposed	freq	2		
parrot	parrot	13	P1_name	papag	papago	parrot	espdic	worksheet-proposed	freq	2		
rob	rob	13	P1_name	rab	rabi	to pillage, plunder, rob, take away (by force)	espdic	worksheet-proposed	freq	2		
rover	rover	13	P1_name	rover	rovero	rover, venturer	espdic	worksheet-proposed	freq	2		
holly	holly	12	P1_name	ileks	ilekso	holly	espdic	worksheet-proposed	freq	2		translation (sanktaj)
nectar	nectar	12	P1_name	nektar	nektaro	nectar	espdic	worksheet-proposed	freq	2		
nutty	nutty	12	P1_name	arom	aroma	aromatic, fragrant, nutty	espdic	worksheet-proposed	freq	2		
rusty	rusty	12	P1_name	rust	rusta	rusty	espdic	worksheet-proposed	freq	2		
snail	snail	12	P1_name	limak	limako	slug, snail	espdic	worksheet-proposed	freq	2		
bumpy	bumpy	11	P1_name	maleben	malebena	bumpy, rugged, rough	espdic	worksheet-proposed	freq	2		several translations: round shape,  ball jumpy, not smooth
ginger	ginger	11	P1_name	ruf	rufa	ginger, red, russet, rust-colored, roan	espdic	worksheet-proposed	freq	2		translation: red hair (rugaj)
noon	noon	11	P1_name	tagmez	tagmezo	midday, noon	espdic	worksheet-proposed	seed	1		
ashtray	ashtray	10	P1_name	cindruj	cindrujo	ash pan, ashtray	espdic	worksheet-proposed	freq	2		
bin	bin	10	P1_name	uj	ujo	bin, container, box, vessel	espdic	worksheet-proposed	freq	2		
crow	crow	10	P1_name	korv	korvo	crow, raven	espdic	worksheet-proposed	freq	2		
