decision	review_flag	en_word	fold	anchor_root	all_roots	root_detail	eo_word	proposed_tier	gloss_zipf	gloss	note
approve		distinguished	standalone	eminent	eminent		eminenta	3	4.2	distinguished, eminent, prominent	
approve		cargo	standalone	ŝipŝarĝ	ŝipŝarĝ		ŝipŝarĝo	3	4.19	ship’s cargo	
approve		census	standalone	cens	cens		censi	3	4.19	to census, inventory	
approve		ram	standalone	bok	bok		boko	3	4.19	ram, vaulting-horse	
approve		tobacco	standalone	tabak	tabak		tabako	2	4.19	tobacco	
approve		animation	standalone	animaci	animaci		animacio	2	4.18	animation	
approve		grid	standalone	krad	krad		krado	2	4.18	grid	
approve		patent	standalone	patent	patent		patento	3	4.18	patent	
approve	standalone adj (your rule)	anonymous	derived_adj	anonim	anonim		anonima	2	4.17	anonymous, nameless	derived adjective — confirm noun anchor / eo_word
approve		propaganda	standalone	propagand	propagand		propagando	2	4.17	propaganda	
approve		icon	standalone	ikon	ikon		ikono	3	4.16	icon	
approve		sheriff	standalone	ŝerif	ŝerif		ŝerifo	2	4.16	sheriff	
approve		podcast	standalone	podkast	podkast		podkasto	2	4.15	podcast	
approve		corrupt	standalone	korupt	korupt		korupto	2	4.14	corrupt	
approve		tattoo	standalone	tatu	tatu		tatui	2	4.14	to tattoo	
approve		breach	standalone	breĉ	breĉ		breĉi	3	4.13	to breach	
approve		feminist	standalone	feminist	feminist		feministo	2	4.12	feminist	
approve	standalone adj (your rule)	fatal	derived_adj	kapromp	kapromp		kaprompa	3	4.1	fatal	derived adjective — confirm noun anchor / eo_word
approve		fig	standalone	fig	fig		figo	3	4.1	fig	
approve		dump	standalone	dumping	dumping		dumpingi	3	4.08	to dump	
approve	standalone adj (your rule)	fabulous	derived_adj	fabl	fabl		fabla	3	4.08	fabulous	derived adjective — confirm noun anchor / eo_word
approve	standalone adj (your rule)	provincial	derived_adj	provinc	provinc,provincial	provinc=provincial || provincial=provincial	provinca	3	4.08	provincial	2 roots collapsed: provinc, provincial; derived adjective — confirm noun anchor / eo_word
approve		subtle	standalone	subtil	subtil		subtilo	3	4.08	subtle	
approve	standalone adj (your rule)	tragic	derived_adj	tragedi	tragedi,tragik	tragedi=tragic || tragik=tragic	tragedia	2	4.08	tragic	2 roots collapsed: tragedi, tragik; derived adjective — confirm noun anchor / eo_word
approve		allied	standalone	alianc	alianc		alianca	3	4.07	allied	
approve		matrix	standalone	matric	matric		matrico	2	4.07	matrix	
approve	standalone adj (your rule)	optical	derived_adj	optik	optik		optika	3	4.07	optical	derived adjective — confirm noun anchor / eo_word
approve		quantum	standalone	kvantum	kvantum		kvantumo	2	4.07	quantum	
approve		compact	standalone	kompakt	kompakt		kompakto	2	4.06	compact, dense	
approve		fiber	standalone	fibr	fibr		fibro	3	4.06	fiber	
approve		graph	standalone	grafe	grafe		grafeo	2	4.05	graph	
approve		spam	standalone	spam	spam		spami	2	4.05	to spam	
approve	standalone adj (your rule)	static	derived_adj	statik	statik		statika	2	4.05	static	derived adjective — confirm noun anchor / eo_word
approve		withdraw	standalone	eliĝ	eliĝ		eliĝi	2	4.05	to withdraw	
