decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	standalone	boiler	kaldron	kaldron	kaldrono	NOUN	3	3.71	core	4	boiler, cauldron, kettle	
	common	standalone	digest	digest	digest	digesti	VERB	3	3.71	core	5	to digest	
	common	derived_adj	linguistic	lingvoscienc	lingvoscienc	lingvoscienca	ADJ	3	3.71	extended	2	linguistic	derived adjective — confirm noun anchor / eo_word
	common	standalone	macro	makro	makro	makroo	NOUN	3	3.71	extended	2	macro	
	common	derived_adj	spontaneous	spontan	spontan,spontane	spontana	ADJ	3	3.71	extended	2	spontaneous	2 roots collapsed: spontan, spontane; derived adjective — confirm noun anchor / eo_word
	common	standalone	apprentice	metilernant	metilernant	metilernanto	NOUN	3	3.7	core	3	apprentice	
	common	derived_adj	bisexual	ambaŭseks	ambaŭseks	ambaŭseksa	ADJ	3	3.7	core	3	bisexual	derived adjective — confirm noun anchor / eo_word
	common	standalone	cinnamon	cinam	cinam	cinamo	NOUN	3	3.7	extended	2	cinnamon	
	common	standalone	compulsory	end	end	endi	VERB	3	3.7	core	3	to be compulsory	
	common	standalone	confederate	konfederaci	konfederaci	konfederacii	VERB	3	3.7	extended	2	to confederate	
	common	standalone	delegate	deleg	deleg	delegi	VERB	3	3.7	extended	2	to delegate	
	common	standalone	monarch	monarĥ	monarĥ	monarĥo	NOUN	3	3.69	core	4	monarch	
	common	standalone	mustard	mustard	mustard	mustardo	NOUN	3	3.69	extended	2	mustard	
	common	standalone	tinder	tindr	tindr	tindro	NOUN	3	3.69	extended	2	tinder, punk, touchwood	
	common	derived_adj	archaeological	arkeologi	arkeologi,arĥeologi	arkeologia	ADJ	3	3.68	extended	2	archaeological, archeological	2 roots collapsed: arkeologi, arĥeologi; derived adjective — confirm noun anchor / eo_word
	common	standalone	clone	klon	klon	kloni	VERB	3	3.68	core	4	to clone	
	common	standalone	defect	ekslojaliĝ	ekslojaliĝ	ekslojaliĝi	VERB	3	3.68	extended	2	to defect	
	common	derived_adj	rehearsal	provlud	provlud	provluda	ADJ	3	3.68	extended	2	rehearsal	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	rigorous	rigor	rigor	rigora	ADJ	3	3.68	extended	2	rigorous, stringent	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	skeptical	skeptik	skeptik	skeptika	ADJ	3	3.68	core	3	skeptical	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	unanimous	unuanim	unuanim	unuanima	ADJ	3	3.68	extended	2	unanimous	derived adjective — confirm noun anchor / eo_word
	common	standalone	cosmetics	kosmetik	kosmetik	kosmetiko	NOUN	3	3.67	extended	2	cosmetics	
	common	derived_adj	inaugural	inaŭgur	inaŭgur	inaŭgura	ADJ	3	3.67	extended	2	inaugural	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	proprietary	propriet	propriet	proprieta	ADJ	3	3.67	core	3	proprietary	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	imperative	ordon	ordon	ordona	ADJ	3	3.66	core	3	imperative	derived adjective — confirm noun anchor / eo_word
	common	standalone	maternity	akuŝ	akuŝ	akuŝo	NOUN	3	3.66	core	7	maternity	
	common	derived_adj	peripheral	periferi	periferi	periferia	ADJ	3	3.66	extended	2	peripheral	derived adjective — confirm noun anchor / eo_word
	common	standalone	duel	duel	duel	dueli	VERB	3	3.65	extended	2	to duel	
	common	standalone	incompetent	nekompetent	nekompetent	nekompetento	NOUN	3	3.65	extended	2	incompetent	
	common	standalone	zinc	zink	zink	zinko	NOUN	3	3.65	core	3	zinc, zincic	
	common	standalone	baton	taktbaston	taktbaston	taktbastono	NOUN	3	3.64	extended	2	baton	
	common	standalone	camel	kamel	kamel	kamelo	NOUN	3	3.64	extended	2	camel	
	common	standalone	dub	dubl	dubl	dubli	VERB	3	3.64	core	5	to dub	
	common	standalone	query	informpet	informpet	informpeto	NOUN	3	3.64	extended	2	query	
	common	standalone	scarlet	skarlat	skarlat	skarlato	NOUN	3	3.64	extended	2	scarlet	
	common	standalone	vinegar	vinagr	vinagr	vinagro	NOUN	3	3.64	extended	2	vinegar	
	common	standalone	accessory	aneks	aneks,kunkulp	anekso	NOUN	3	3.63	core	5	accessory	2 roots collapsed: aneks, kunkulp
	common	standalone	cache	kaŝmemor	kaŝmemor	kaŝmemoro	NOUN	3	3.63	extended	2	cache, caching	
	common	standalone	endorse	viz	viz	vizi	VERB	3	3.63	core	6	to endorse	
	common	standalone	fax	faks	faks,telefaks	faksi	VERB	3	3.63	core	4	to fax	2 roots collapsed: faks, telefaks
	common	standalone	gag	gag	gag	gago	NOUN	3	3.63	extended	2	gag	
	common	standalone	gill	brank	brank	branko	NOUN	3	3.63	core	3	gill	
	common	derived_adj	inactive	neaktiv	neaktiv	neaktiva	ADJ	3	3.63	extended	2	inactive	derived adjective — confirm noun anchor / eo_word
	common	standalone	warp	varp	varp	varpi	VERB	3	3.63	extended	2	to warp	
	common	standalone	alpine	alp	alp	alpo	NOUN	3	3.62	core	7	alpine	
	common	standalone	armored	kiras	kiras	kirasa	ADJ	3	3.62	extended	2	armored	
	common	standalone	atheist	ate	ate	ateo	NOUN	3	3.62	core	4	atheist	
	common	standalone	caravan	karavan	karavan	karavano	NOUN	3	3.62	extended	2	caravan	
	common	standalone	compressed	densig	densig	densiga	ADJ	3	3.62	core	3	compressed, compression, condensed (font)	
	common	standalone	fertile	fekund	fekund,fruktodon	fekundo	NOUN	3	3.62	core	5	fertile	2 roots collapsed: fekund, fruktodon
	common	standalone	fuse	meĉ	meĉ	meĉo	NOUN	3	3.62	extended	2	fuse, wick	
	common	standalone	midfield	mezkamp	mezkamp	mezkampo	NOUN	3	3.62	extended	2	midfield	
	common	standalone	rectangular	rektangul	rektangul	rektangulo	NOUN	3	3.62	extended	2	rectangular	
	common	standalone	wedge	kojn	kojn	kojni	VERB	3	3.62	extended	2	to wedge	
	common	standalone	alloy	aloj	aloj	aloji	VERB	3	3.61	extended	2	to alloy	
	common	standalone	apartheid	rasapartig	rasapartig	rasapartigo	NOUN	3	3.61	extended	2	apartheid, segregation	
	common	standalone	fraudulent	fraŭd	fraŭd	fraŭdo	NOUN	3	3.61	extended	2	fraudulent	
	common	standalone	handicap	handikap	handikap	handikapi	VERB	3	3.61	core	4	to handicap	
	common	standalone	lantern	lantern	lantern	lanterno	NOUN	3	3.61	extended	2	lantern	
	common	standalone	noun	substantiv	substantiv	substantivo	NOUN	3	3.61	extended	2	noun, substantive	
	common	standalone	physiology	fiziologi	fiziologi	fiziologio	NOUN	3	3.61	extended	2	physiology	
